product_name,brand,price,ram,storage,screen_size,resolution,chipset,os,rear_camera,front_camera,battery,dimensions,weight,rating_value,rating_count,image_url
iPhone 17 512GB,Apple,25349000,8,512,6.3,1206x2622,Apple A19 (3 nm),iOS 26,48 + 48 MP,"18 MP multi-aspect, f/1.9, (wide), PDAF, OIS",30 giờ,149.6x71.5x7.95,,5,1,https://www.duchuymobile.com/images/detailed/85/iphone-17-den_6ml9-x8.jpg
Honor X5c,HONOR,2099000,4,64,6.74,720x1600,Helio G81 (12 nm),"Android 15, MagicOS 9",13 + 0.08 MP,"5 MP, f/2.2",5260,,,5,1,https://www.duchuymobile.com/images/detailed/86/honor-x5c.jpg
iPhone 17 Pro Max 512GB,Apple,40999000,12,512,6.9,1320x2868,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,Camera 18MP Center Stage Khẩu độ ƒ/1.9,đến 37 giờ,163.4x78x8.75,231,5,1,https://www.duchuymobile.com/images/detailed/85/iphone-17-pro-max-bac_ozxa-ka.jpg
iPhone 17 Pro 512GB,Apple,34349000,12,512,6.3,1206x2622,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,"18 MP multi-aspect, f/1.9, (wide), PDAF, OIS",31 giờ,150x71.9x8.75,204,5,1,https://www.duchuymobile.com/images/detailed/85/iphone-17-pro-xanh-dam_nmuu-zm.jpg
iPhone 17 Pro 256GB,Apple,28490000,12,256,6.3,1206x2622,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,"18 MP multi-aspect, f/1.9, (wide), PDAF, OIS",31 giờ,150x71.9x8.75,204,5,1,https://www.duchuymobile.com/images/detailed/85/iphone-17-pro-xanh-dam.jpg
iPhone Air 512GB,Apple,31649000,12,512,6.5,1260x2736,Apple A19 Pro (3 nm),iOS 26,48 MP,"18 MP multi-aspect, f/1.9, (wide), PDAF, OIS",27 giờ,156.2x74.7x5.64,,5,1,https://www.duchuymobile.com/images/detailed/85/iphone-air-den_gdxx-sf_kfmd-9d_wqat-0q_1g2o-jo.jpg
iPhone 17 Pro Max 2TB,Apple,62999000,12,2048,6.9,1320x2868,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,Camera 18MP Center Stage Khẩu độ ƒ/1.9,đến 37 giờ,163.4x78x8.75,231,5,3,https://www.duchuymobile.com/images/detailed/84/iphone-17-pro-max-cam_lb8m-f4.jpg
iPhone 17 256GB,Apple,19499000,8,256,6.3,1206x2622,Apple A19 (3 nm),iOS 26,48 + 48 MP,"18 MP multi-aspect, f/1.9, (wide), PDAF, OIS",30 giờ,149.6x71.5x7.95,,5,1,https://www.duchuymobile.com/images/detailed/85/iphone-17-den.jpg
iPhone Air 1TB,Apple,39999000,12,1024,6.5,1260x2736,Apple A19 Pro (3 nm),iOS 26,48 MP,"18 MP multi-aspect, f/1.9, (wide), PDAF, OIS",27 giờ,156.2x74.7x5.64,,5,3,https://www.duchuymobile.com/images/detailed/84/iphone-air-vang.jpg
OPPO Reno15c 5G,OPPO,11899000,12,512,6.59,1256x2760,Snapdragon 7 Gen 4 (4 nm),"Android 16, ColorOS 16",50 + 50 + 8MP,"50 MP, f/2.0",6500,,,5,1,https://www.duchuymobile.com/images/detailed/88/oppo-reno-15c-mau-xanh_cxb0-u5.jpg
Samsung Galaxy A07 5G,Samsung,3549000,4,128,6.74,720x1600,MediaTek Dimensity 6300 5G 8 nhân,Android 16,Chính 50 MP & Phụ 2 MP,8MP,6000,167.4x77.4x8.2,195,5,1,https://www.duchuymobile.com/images/detailed/89/galaxy-a07-5g-xanh-ngoc-bich.jpg
Xiaomi Redmi Note 15 5G,Xiaomi,5299000,6,128,6.77,1080x2392,Snapdragon 6 Gen 3 8 nhân,Xiaomi HyperOS 2,Chính 108 MP & Phụ 8 MP,20MP,5520,164x75.42x7.35,178,5,3,https://www.duchuymobile.com/images/detailed/89/xiaomi-redmi-note-15-5g-xanh.png
